respondent,T1Q1: I felt sure about my answer.,T1Q2: It was easy to complete this task.,T1Q3: Is there any further information you would like to add about this task? (original),T1Q3: Is there any further information you would like to add about this task? (grouped),T2Q1: I felt sure about my answer.,T2Q2: It was easy to complete this task.,T2Q3: Is there any further information you would like to add about this task? (original),T2Q3: Is there any further information you would like to add about this task? (grouped),T3Q1: I felt sure about my answer.,T3Q2: It was easy to complete this task.,T3Q3: Is there any further information you would like to add about this task? (original),T3Q3: Is there any further information you would like to add about this task? (grouped),T4Q1: I felt sure about my answer.,T4Q2: It was easy to complete this task.,T4Q3: Is there any further information you would like to add about this task? (original),T4Q3: Is there any further information you would like to add about this task? (grouped),T5Q1: I felt sure about my answer.,T5Q2: It was easy to complete this task.,T5Q3: Is there any further information you would like to add about this task? (original),T5Q3: Is there any further information you would like to add about this task? (grouped),T6Q1: I felt sure about my answer.,T6Q2: It was easy to complete this task.,T6Q3: Is there any further information you would like to add about this task? (original),T6Q3: Is there any further information you would like to add about this task? (grouped),T7Q1: I felt sure about my answer.,T7Q2: It was easy to complete this task.,T7Q3: Is there any further information you would like to add about this task? (original),T7Q3: Is there any further information you would like to add about this task? (grouped),T8Q1: I felt sure about my answer.,T8Q2: It was easy to complete this task.,T8Q3: Is there any further information you would like to add about this task? (original),T8Q3: Is there any further information you would like to add about this task? (grouped),T9Q1: I felt sure about my answer.,T9Q2: It was easy to complete this task.,T9Q3: Is there any further information you would like to add about this task? (original),T9Q3: Is there any further information you would like to add about this task? (grouped),T10Q1: I felt sure about my answer.,T10Q2: It was easy to complete this task.,T10Q3: Is there any further information you would like to add about this task? (original),T10Q3: Is there any further information you would like to add about this task? (grouped),T11Q1: I felt sure about my answer.,T11Q2: It was easy to complete this task.,T11Q3: Is there any further information you would like to add about this task? (original),T11Q3: Is there any further information you would like to add about this task? (grouped)
16,6,7,,,6,7,,,5,7,,,7,7,,,7,7,,,6,7,,,6,7,,,4,7,,,4,7,,,5,7,,,7,7,,
17,7,7,,,7,7,,,3,4,,,6,5,,,7,3,,,7,5,,,5,6,,,7,6,,,7,7,,,5,5,,,6,5,,
18,7,7,No problems. It was quite easy.,No problems. It was quite easy.,7,7,No problems,No problems,7,7,easy to find,easy to find,7,6,"Sports would be better to have its own category since at the beginning i didnt know if it would be in etretainment or hobbies. ","Sports would be better to have its own category since at the beginning i didnt know if it would be in etretainment or hobbies. ",7,5,"The hobbies selection is a bit random, It would be easier to put the subcategories somewhere else. It wasnt so hard, but i was wondering where to find it, maybe society or culture","The hobbies selection is a bit random, It would be easier to put the subcategories somewhere else. It wasnt so hard, but i was wondering where to find it, maybe society or culture",7,6,There would be probably more than one good option for this. Again It was hard to choose between society and culture,There would be probably more than one good option for this. Again It was hard to choose between society and culture,7,7,Easy to find,Easy to find,7,7,No problems with this one,No problems with this one,7,7,Wondering if i should go to biology until i saw the category nature,Wondering if i should go to biology until i saw the category nature,7,7,"There probably more than one right answer also, in innovation or treatments","There probably more than one right answer also, in innovation or treatments",7,6,I had problem at the beginning wondering between lifestyle and society. Id go for lifestyle first,I had problem at the beginning wondering between lifestyle and society. Id go for lifestyle first
19,5,6,,,7,7,,,7,7,,,5,5,,,5,4,,,5,4,Slightly harder to find,Slightly harder to find,4,4,,,5,3,,,6,3,,,5,6,,,7,6,,
20,5,7,None,None,7,7,,,7,7,None,None,7,7,,,7,7,,,7,7,,,7,7,NONE,None,7,7,,,7,7,,,5,6,,,6,7,,
21,7,7,,,7,7,,,7,7,,,7,7,,,7,5,,,6,2,,,7,5,,,6,6,,,4,4,,,5,5,,,7,4,,
23,7,7,No problems.,No problems.,6,6,you would find comedy films here but the reviews section may be useful?,you would find comedy films here but the reviews section may be useful?,6,6,,,5,4,very tricky,very tricky,7,7,easy,easy,5,4,tricky,tricky,7,6,,,6,6,,,7,6,,,6,4,tricky,tricky,6,3,had to hunt around a bit for this one,had to hunt around a bit for this one
24,6,6,,,6,5,,,3,2,,,6,5,,,5,5,,,5,5,,,3,3,,,5,5,,,1,1,,,3,3,,,6,6,,
25,7,7,No,No,7,7,no,no,5,7,no,no,7,5,I would have expected a sports tab on the first page.,I would have expected a sports tab on the first page.,7,5,No,No,7,4,no,no,5,6,no,no,7,3,Technology should not be in science.,Technology should not be in science.,7,4,no,no,7,3,Health would be better suited in lifestyle.,Health would be better suited in lifestyle.,7,6,no,no
26,6,7,,,6,6,,,6,3,,,6,5,,,6,3,,,4,3,,,5,4,,,2,1,,,6,4,,,5,5,,,7,6,,
27,6,7,,,6,5,,,7,6,,,6,2,,,6,5,,,7,5,,,5,3,,,2,2,,,5,3,,,5,4,,,6,4,,
28,6,7,,,6,7,,,7,7,,,7,5,The sports were in a funny order,The sports were in a funny order,6,6,,,6,5,,,4,3,,,6,6,,,6,6,,,5,6,,,7,7,,
29,6,6,No problems,No problems.,7,7,I found this task quite simple and straight forward.,I found this task quite simple and straight forward.,7,7,I found this task straight forward and easy to complete.,I found this task straight forward and easy to complete.,7,5,Initially searched under entertainment so less straight forward than some of the earlier tasks for me.,Initially searched under entertainment so less straight forward than some of the earlier tasks for me.,6,3,I found this task more difficult than the last. I found it harder to navigate to the information I needed.,I found this task more difficult than the last. I found it harder to navigate to the information I needed.,5,4,"no real problems but searched lifestyle and trending without finding what I was looking for. Also the choices for the final answer seem ambiguous to me i.e. I would consider 'trending' and 'new collection' to be similar. ","no real problems but searched lifestyle and trending without finding what I was looking for. Also the choices for the final answer seem ambiguous to me i.e. I would consider 'trending' and 'new collection' to be similar. ",7,7,I found this task easy to navigate,I found this task easy to navigate,7,7,I found this task easy to navigate.,I found this task easy to navigate.,6,5,I initially searched according to the answer submitted but also searched under hobbies in order to see if there was a topic pertaining to bird watching.,I initially searched according to the answer submitted but also searched under hobbies in order to see if there was a topic pertaining to bird watching.,6,7,i found this task simple to complete.,i found this task simple to complete.,7,5,I found this task relatively easy but not completely straight forward as I initially searched under the lifestyle heading.,I found this task relatively easy but not completely straight forward as I initially searched under the lifestyle heading.
30,6,6,,,5,6,,,4,5,,,3,3,,,5,2,,,5,1,,,5,5,,,2,1,,,5,4,,,5,4,,,6,6,,
31,7,7,,,7,6,,,5,3,,,7,6,,,5,4,,,4,4,,,3,3,,,2,1,,,2,2,,,3,3,,,6,5,,
32,7,7,,,7,6,,,6,6,,,7,6,,,4,3,,,6,4,,,6,4,,,6,2,,,3,3,,,3,3,,,6,4,,
33,7,7,I'd probably have had the option I picked at  the top of the trending drop down list,I'd probably have had the option I picked at  the top of the trending drop down list,7,7,Again pretty simple,Again pretty simple,2,1,,,7,4,Sport should have a box of it's own to search under. I wasn't sure sport was really on this site.,Sport should have a box of it's own to search under. I wasn't sure sport was really on this site.,7,7,,,7,5,,,5,2,There was a lot of looking around until I settled on this choice. I wasn't entirely sure where to look and found myself manually going through each box till I found somewhere it might be.,There was a lot of looking around until I settled on this choice. I wasn't entirely sure where to look and found myself manually going through each box till I found somewhere it might be.,7,4,"It didn't really feel like it should be hidden under that section. ","It didn't really feel like it should be hidden under that section. ",6,7,None,None,7,7,,,7,7,N/A,N/A
34,7,7,,,5,6,,,6,6,,,6,5,,,7,7,,,7,2,,,7,7,,,6,6,,,6,6,,,5,5,,,7,4,,
